No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Install core deps,Use matching three + R3F + drei versions,Pin three @react-three/fiber @react-three/drei together,Mix major versions across packages,"npm i three @react-three/fiber @react-three/drei",Random CDN three.js without R3F,Critical,https://docs.pmnd.rs/react-three-fiber/getting-started/introduction
2,Setup,Proof scene first,Render box + lights + orbit before any environment,Copy ProofScene milestone 1,Start with terrain city particles HDRI,Box + ambient + directional + OrbitControls,Full environment on first commit,Critical,
3,SSR,Client-only Canvas,WebGL requires browser — never SSR Canvas,use client + dynamic ssr false,Import Canvas in Server Component,"dynamic(() => import('./Scene'), { ssr: false })",Canvas in app/page.tsx server file,Critical,https://nextjs.org/docs/app/building-your-application/optimizing/lazy-loading
4,Layout,Explicit canvas size,Canvas parent must have non-zero height,h-screen or fixed aspect wrapper,Canvas without sized parent,"<div className=""h-[480px] w-full""><Canvas className=""h-full w-full"" /></div>",<Canvas /> alone in flex child,Critical,
5,Camera,Default camera position,Start camera outside mesh looking at origin,position [3 3 3] fov 50,camera at origin inside geometry,"camera={{ position: [3, 3, 3], fov: 50 }}",camera at [0 0 0] for large mesh,High,
6,Lighting,Minimum light rig,Standard materials need lights,ambientLight + directionalLight,meshStandardMaterial with no lights,"<ambientLight intensity={0.4} /><directionalLight position={[5,5,5]} />",Black standard material scene,High,
7,Controls,OrbitControls default,User must rotate proof scene,OrbitControls makeDefault from drei,No controls on interactive scene,<OrbitControls makeDefault />,Static camera on hero without reason,Medium,https://drei.pmnd.rs/?path=/docs/controls-orbitcontrols
8,Performance,Cap device pixel ratio,Mobile GPUs overheat at full DPR,dpr={[1 2]} or [1 1.5],Default unlimited DPR on mobile,"<Canvas dpr={[1, 2]} />",<Canvas /> on mobile without cap,High,
9,Performance,Defer shadows,Shadows are expensive,Add shadows after 60fps baseline,castShadow on day one,directionalLight castShadow after proof,Every mesh castShadow in proof,Medium,
10,Assets,GLTF with Suspense,Async models need Suspense boundary,Suspense + Loader from drei,useGLTF without Suspense,"<Suspense fallback={<Loader />}><Model /></Suspense>",useGLTF top-level no fallback,High,https://drei.pmnd.rs/?path=/docs/loaders-gltf-usegltf
11,Assets,Draco compression,Large GLB need Draco decoder,useGLTF with draco path,Ship 50MB raw GLB,draco: '/draco/',Uncompressed multi-MB models,Medium,
12,Assets,Preload known models,Avoid pop-in for hero GLB,useGLTF.preload in module scope,Load on first paint only,useGLTF.preload('/hero.glb'),Visible pop-in on hero,Medium,
13,Memory,Dispose on unmount,Hot reload leaks GPU memory,cleanup in useEffect for manual Three objects,Recreate WebGLRenderer every navigation,return () => geom.dispose(),Remount Canvas without cleanup,Medium,
14,Stage,Environment after proof,HDRI and presets come after proof scene,drei Environment preset studio,Environment before visible mesh,<Environment preset=""city"" /> on empty scene,HDRI before proof,Critical,https://drei.pmnd.rs/?path=/docs/staging-environment
15,Stage,Grid and ground,Spatial grounding before complex props,Grid + plane or Stage helper,Floating objects without reference,<Grid infiniteGrid /> + ground plane,Objects at y=0 with no ground,Medium,
16,A11y,Reduced motion,Respect prefers-reduced-motion,Disable auto-rotate and heavy loops,Continuous camera animation always,useReducedMotion hook pause loop,Auto-spin ignoring reduced motion,High,
17,A11y,Non-WebGL fallback,Canvas is not accessible primary content,Static image or text summary behind canvas,3D-only information,poster image + aria-label on wrapper,Info only visible in WebGL,High,
18,Debug,Basic material test,Verify render pipeline with meshBasicMaterial,meshBasicMaterial to isolate lighting bugs,Debug by adding random lights only,<meshBasicMaterial color=""hotpink"" />,Only standard material when black screen,Medium,
19,Integration,Hybrid 2D + 3D repos,Use right lane per surface,Impeccable for UI r3f-three for Canvas,/impeccable polish on WebGL files,Separate scene components from dashboard,Impeccable CSS rules on R3F,Critical,
20,Verify,Console clean before done,No WebGL or R3F errors in devtools,Fix errors before polish features,Ship with context lost warnings,Zero console errors on proof,Known WebGL errors ignored,High,
